,Gen,Ttt,dose2mrs_min,wrong_coil,comments,Cr,CrSD,PCr,PCrSD,Glu,GluCrPCr,GluSD,GABA,GABASD,GABACrPCr,GSH,GSHSD,GSHCrPCr,CrPCr
NAC5_20160125_01,WT,Saline,255,0,different structural sequence,9.47,16,5.687,27,16.74,1.104,12,3.148,39,0.20800000000000002,7.6339999999999995,14,0.504,15.157
NAC5_20160125_02,WT,Saline,180,0,different structural sequence,11.065999999999999,26,5.247000000000001,60,23.815,1.46,11,3.263,45,0.2,6.861000000000001,19,0.42100000000000004,16.313
NAC5_20160125_03,KO,Saline,170,0,different structural sequence,8.542,26,4.989,46,21.237,1.57,11,2.6310000000000002,49,0.19399999999999998,7.353,16,0.5429999999999999,13.530999999999999
NAC5_20160125_04,KO,NAC,118,0,no structural,11.623,15,2.985,58,20.409000000000002,1.3969999999999998,10,2.378,49,0.163,4.516,24,0.309,14.607999999999999
NAC5_20160126_01,KO,Saline,155,0,"from this mouse on same structural sequence, for all mice (nac and Salineine). Problem with heater, mouse a bit cold",5.412999999999999,23,8.971,15,20.385,1.4169999999999998,11,1.969,55,0.13699999999999998,4.779,21,0.332,14.384
NAC5_20160126_02,WT,NAC,180,0,"problem with heater, mouse a bit cold",7.739,14,6.364,17,19.326,1.37,9,3.358,34,0.23800000000000002,4.696000000000001,18,0.33299999999999996,14.103
NAC5_20160126_02,WT,Saline,110,0,,7.739,14,6.364,17,19.326,1.37,9,3.358,34,0.23800000000000002,4.696000000000001,18,0.33299999999999996,14.103
NAC5_20160126_03,WT,NAC,155,0,"problem with heater, mouse a bit cold",9.42,14,6.5120000000000005,20,15.034,0.9440000000000001,13,2.989,41,0.188,4.71,20,0.29600000000000004,15.932
NAC5_20160126_03,WT,NAC,145,0,,9.42,14,6.5120000000000005,20,15.034,0.9440000000000001,13,2.989,41,0.188,4.71,20,0.29600000000000004,15.932
NAC5_20160126_04,WT,Saline,140,0,"problem with heater, mouse a bit cold",5.946000000000001,30,8.423,22,19.977,1.39,12,2.182,55,0.152,4.6930000000000005,24,0.327,14.369
NAC5_20160126_04,WT,NAC,165,0,,5.946000000000001,30,8.423,22,19.977,1.39,12,2.182,55,0.152,4.6930000000000005,24,0.327,14.369
NAC5_20160126_05,KO,NAC,135,0,,6.167000000000001,25,8.352,19,17.504,1.206,11,2.5639999999999996,45,0.177,7.156000000000001,14,0.493,14.519000000000002
NAC5_20160126_05,KO,NAC,160,0,,6.167000000000001,25,8.352,19,17.504,1.206,11,2.5639999999999996,45,0.177,7.156000000000001,14,0.493,14.519000000000002
NAC5_20160127_01,KO,Saline,120,0,,8.852,20,5.17,35,19.51,1.391,11,1.253,101,0.08900000000000001,5.3870000000000005,20,0.384,14.022
NAC5_20160325_01,WT,Saline,130,1,done on 39 coil so possibly fucked up,0.0,999,16.930999999999997,8,18.655,1.102,21,1.6380000000000001,94,0.09699999999999999,7.005,27,0.414,16.930999999999997
NAC5_20160325_02,KO,Saline,145,1,done on 39 coil so possibly fucked up,9.447000000000001,15,3.4560000000000004,37,13.048,1.011,22,2.697,46,0.209,7.002999999999999,19,0.5429999999999999,12.903000000000002
NAC5_20160325_03,WT,NAC,165,1,done on 39 coil so possibly fucked up,8.396,20,5.357,31,20.148,1.465,13,2.092,58,0.152,3.8510000000000004,31,0.28,13.753
NAC5_20160325_04,KO,NAC,150,1,done on 39 coil so possibly fucked up,10.7,18,1.82,100,17.688,1.413,15,1.999,57,0.16,3.013,41,0.24100000000000002,12.52
NAC5_20160325_05,KO,NAC,150,1,done on 39 coil so possibly fucked up,11.07,16,5.62,30,19.027,1.14,14,2.4659999999999997,54,0.14800000000000002,6.805,20,0.408,16.69
NAC5_20160325_06,WT,Saline,140,1,done on 39 coil so possibly fucked up,6.664,27,6.006,30,12.95,1.022,21,2.282,52,0.18,6.057,21,0.478,12.67
NAC5_20160326_01,WT,Saline,120,1,done on 39 coil so possibly fucked up,8.618,32,5.962000000000001,47,18.326,1.2570000000000001,15,1.5190000000000001,80,0.10400000000000001,5.316,28,0.365,14.580000000000002
NAC5_20160326_02,KO,Saline,135,1,done on 39 coil so possibly fucked up,10.995,20,2.904,75,19.579,1.409,13,1.7719999999999998,73,0.128,4.8580000000000005,24,0.35,13.899
NAC5_20160326_03,KO,NAC,135,1,done on 39 coil so possibly fucked up,13.993,19,2.302,117,19.574,1.2009999999999998,15,2.371,64,0.145,5.269,27,0.32299999999999995,16.295
NAC5_20160326_04,KO,NAC,120,1,done on 39 coil so possibly fucked up,16.623,8,0.0,999,26.656999999999996,1.604,13,2.394,63,0.14400000000000002,9.905,18,0.596,16.623
NAC5_20160326_05,WT,NAC,125,1,done on 39 coil so possibly fucked up,11.159,19,2.294,89,19.143,1.423,15,1.629,69,0.121,5.5729999999999995,22,0.414,13.453000000000001
NAC5_20160326_06,KO,Saline,135,1,done on 39 coil so possibly fucked up. messed up last water sup scan. So po made another. See how it goes when analysing,10.66,28,4.23,71,20.88,1.402,14,2.33,58,0.157,4.178,29,0.281,14.89
NAC5_20160328_01,KO,Saline,125,0,,7.765,17,8.449,17,14.602,0.9009999999999999,14,3.5439999999999996,34,0.21899999999999997,6.401,16,0.395,16.214
NAC5_20160328_02,WT,Saline,145,0,,12.65,29,1.64,227,18.374000000000002,1.286,26,1.306,100,0.091,5.832000000000001,42,0.408,14.290000000000001
NAC5_20160328_03,WT,NAC,150,0,,10.439,15,6.731,23,20.064,1.168,11,3.855,35,0.225,6.671,16,0.389,17.17
NAC5_20160328_04,KO,NAC,130,0,,7.614,32,7.607,33,16.077,1.056,18,2.149,66,0.141,9.257,14,0.608,15.221
NAC5_20160328_05,KO,NAC,150,0,,9.439,15,6.5329999999999995,21,23.493000000000002,1.4709999999999999,9,1.804,74,0.113,5.256,22,0.32899999999999996,15.972
NAC5_20160329_01,WT,Saline,100,0,en vrai injectee a 8:30? breathing a bit fucked up throughout scan,9.152000000000001,19,4.975,35,16.447,1.1640000000000001,13,2.302,48,0.163,7.492999999999999,16,0.53,14.127
NAC5_20160329_02,KO,Saline,135,0,,11.669,20,2.605,90,18.583,1.3019999999999998,16,1.4680000000000002,94,0.10300000000000001,4.918,29,0.345,14.274000000000001
NAC5_20160329_03,KO,NAC,155,0,,9.613,26,6.831,38,16.294,0.991,16,1.839,77,0.11199999999999999,9.969,13,0.606,16.444
